epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,463.94,0.87249,2.00846,1.15094,0.95721,0.63289,0.89711,0.71539,0.76401,2.58083,1.11155,0.00053344,0.00053344,0.00053344
2,910.488,0.82076,1.16035,1.07236,0.84127,0.80859,0.89217,0.71474,0.78366,1.95284,1.05661,0.00102991,0.00102991,0.00102991
3,1353.48,0.82395,1.03651,1.06713,0.77538,0.7982,0.86851,0.69181,0.73144,1.53579,1.12996,0.00147193,0.00147193,0.00147193
4,1789.87,0.8116,0.93117,1.05909,0.74229,0.72919,0.8684,0.68553,0.78715,1.70262,1.06418,0.00141945,0.00141945,0.00141945
5,2225.39,0.79507,0.81136,1.03872,0.83751,0.88114,0.94119,0.77834,0.68236,1.34784,1.02951,0.00133693,0.00133693,0.00133693
6,2664.36,0.7524,0.74936,1.03839,0.72097,0.74036,0.85696,0.71627,0.68459,1.84011,0.99702,0.00125442,0.00125442,0.00125442
7,3116.52,0.72421,0.68513,1.02652,0.94363,0.95581,0.96897,0.82174,0.62764,0.72448,0.95895,0.0011719,0.0011719,0.0011719
8,3553.23,0.70768,0.64159,1.0075,0.9559,0.95267,0.98415,0.83702,0.62608,0.5795,0.95829,0.00108938,0.00108938,0.00108938
9,3986.39,0.70603,0.61447,1.01453,0.95406,0.96042,0.98422,0.8564,0.55322,0.56644,0.93568,0.00100687,0.00100687,0.00100687
10,4420.28,0.6623,0.58415,0.99361,0.98085,0.97384,0.98389,0.84966,0.53979,0.48921,0.92575,0.000924352,0.000924352,0.000924352
11,4854.76,0.57529,0.5368,0.96428,0.97818,0.97635,0.98163,0.85145,0.58163,0.56512,0.9723,0.000841835,0.000841835,0.000841835
12,5283.37,0.55519,0.47125,0.95827,0.9631,0.9479,0.97742,0.86191,0.51774,0.4935,0.90228,0.000759318,0.000759318,0.000759318
13,5712.55,0.53877,0.44652,0.94328,0.97764,0.97905,0.98894,0.86352,0.57085,0.38673,0.92804,0.000676802,0.000676802,0.000676802
14,6141.42,0.52109,0.415,0.92661,0.99031,0.97227,0.99077,0.86326,0.54566,0.40203,0.92481,0.000594286,0.000594286,0.000594286
15,6568.62,0.50984,0.39611,0.92563,0.99254,0.97887,0.98675,0.88814,0.47231,0.34861,0.88068,0.000511769,0.000511769,0.000511769
16,6995.36,0.48187,0.3679,0.91339,0.99193,0.97921,0.98939,0.88935,0.5006,0.33516,0.8974,0.000429253,0.000429253,0.000429253
17,7423.83,0.47493,0.35488,0.91783,0.98834,0.9834,0.98998,0.89492,0.49439,0.31264,0.89696,0.000346736,0.000346736,0.000346736
18,7849.53,0.46187,0.33654,0.91824,0.98999,0.9888,0.98854,0.89469,0.48295,0.30632,0.9033,0.00026422,0.00026422,0.00026422
19,8279.36,0.44277,0.31993,0.89726,0.99167,0.98704,0.99157,0.90475,0.46803,0.28253,0.88073,0.000181703,0.000181703,0.000181703
20,8707.18,0.43319,0.31199,0.90314,0.99128,0.98961,0.99177,0.90814,0.45203,0.28118,0.86976,9.91865e-05,9.91865e-05,9.91865e-05
